URL,Number of outlinks
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/42.5/,12
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/42/,13
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/41.5/,13
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/41/,13
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/40.5/,13
https://www.japscan.ws/lecture-en-ligne/heavenly-jewel-change/40/,13
https://www.japscan.ws/manga/ao-no-hako/,189
https://www.japscan.ws/lecture-en-ligne/ao-no-hako/47/,12
https://www.japscan.ws/manga/the-constellation-only-like-me/,187
https://www.japscan.ws/lecture-en-ligne/the-constellation-only-like-me/46/,12
https://www.japscan.ws/manga/martial-peak/,967
https://www.japscan.ws/lecture-en-ligne/martial-peak/812/,12
https://www.japscan.ws/manga/i-become-a-beast-girl/,159
https://www.japscan.ws/lecture-en-ligne/i-become-a-beast-girl/15/,12
https://www.japscan.ws/lecture-en-ligne/i-become-a-beast-girl/14/,13
https://www.japscan.ws/manga/sensei-wa-koi-o-oshie-rarenai/,189
https://www.japscan.ws/lecture-en-ligne/sensei-wa-koi-o-oshie-rarenai/45/,12
https://www.japscan.ws/manga/sekimen-shinaide-sekime-san/,184
https://www.japscan.ws/lecture-en-ligne/sekimen-shinaide-sekime-san/42/,12
https://www.japscan.ws/manga/how-to-be-a-dark-hero-s-daughter/,161
https://www.japscan.ws/lecture-en-ligne/how-to-be-a-dark-hero-s-daughter/19/,12
https://www.japscan.ws/manga/kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen/,412
https://www.japscan.ws/lecture-en-ligne/kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen/259/,12
https://www.japscan.ws/manga/release-that-witch/,274
https://www.japscan.ws/lecture-en-ligne/release-that-witch/129/,12
https://www.japscan.ws/manga/the-hunter/,275
https://www.japscan.ws/lecture-en-ligne/the-hunter/132/,12
https://www.japscan.ws/manga/the-monster-duke-s-daughter/,157
https://www.japscan.ws/lecture-en-ligne/the-monster-duke-s-daughter/12/,12
https://www.japscan.ws/manga/please-be-obsessed-with-me/,156
https://www.japscan.ws/lecture-en-ligne/please-be-obsessed-with-me/12/,12
https://www.japscan.ws/manga/tokyo-revengers/,393
https://www.japscan.ws/manga/limited-extra-time/,170
